GENE	HGID_CTL-H9_IFNa_rep1	HGID_CTL-H9_IFNa_rep2	HGID_CTL-H9_NS_rep1	HGID_CTL-H9_NS_rep2	HGID_CTL-MRC5-J1_IFNa_rep1	HGID_CTL-MRC5-J1_IFNa_rep2	HGID_CTL-MRC5-J1_NS_rep1	HGID_CTL-MRC5-J1_NS_rep2	HGID_CTL-MRC5-J3_IFNa_rep1	HGID_CTL-MRC5-J3_IFNa_rep2	HGID_CTL-MRC5-J3_NS_rep1	HGID_CTL-MRC5-J3_NS_rep2	HGID_SNORA31-8H_IFNa_rep1	HGID_SNORA31-8H_IFNa_rep2	HGID_SNORA31-8H_NS_rep1	HGID_SNORA31-8H_NS_rep2	HGID_SNORA31-P2_IFNa_rep1	HGID_SNORA31-P2_IFNa_rep2	HGID_SNORA31-P2_NS_rep1	HGID_SNORA31-P2_NS_rep2	HGID_SNORA31-P5_IFNa_rep1	HGID_SNORA31-P5_IFNa_rep2	HGID_SNORA31-P5_NS_rep1	HGID_SNORA31-P5_NS_rep2	HGID_STAT1_IFNa_rep1	HGID_STAT1_IFNa_rep2	HGID_STAT1_NS_rep1	HGID_STAT1_NS_rep2	HGID_TLR3_IFNa_rep1	HGID_TLR3_IFNa_rep2	HGID_TLR3_NS_rep1	HGID_TLR3_NS_rep2
LRP10	0.773	0.712	0.077	0.128	0.163	0.047	-0.192	-0.184	0.839	0.921	0.43	0.515	0.806	0.758	0.251	0.248	1.001	1.026	-0.006	0.113	0.556	0.609	-0.109	-0.08	0.184	0.291	-0.018	0.008	-2.304	-2.215	-2.805	-2.542
LRRC3DN	1.392	1.26	-1.204	-0.711	0.423	0.319	-1.608	-0.561	-0.417	0.388	-0.99	-1.209	-0.69	0.022	-0.572	0.105	1.39	0.48	-1.294	-1.535	1.298	1.885	-0.138	0.126	0.392	-0.487	-0.131	-0.476	0.102	-1.127	1.718	1.85
LYPD5	0.37	-0.549	-1.051	-2.116	0.967	0.547	-0.044	-2.153	0.831	0.344	0.33	-2.346	-1.193	-0.675	0.218	-0.208	0.321	0.685	0.303	0.647	1.002	0.47	0.464	-0.644	-0.295	0.012	-0.72	-0.596	1.894	1.161	1.661	0.361
LZTS2	0.269	0.324	-0.929	-0.803	0.3	0.038	-0.897	-0.702	1.911	1.817	0.667	0.556	0.825	1.099	-1.212	-0.946	1.421	1.502	-0.469	-0.288	0.621	0.479	-0.077	-0.045	0.45	0.567	0.061	0.124	-1.698	-1.384	-1.783	-1.8
MAF	0.765	0.858	0.21	0.315	0.501	0.583	0.258	0.284	0.928	0.97	0.356	0.397	0.725	0.674	-0.028	0.072	0.086	-0.03	-0.094	-0.092	0.385	0.274	-0.178	-0.098	0.476	0.466	0.287	0.347	-1.954	-1.428	-3.138	-3.175
MAML2	1.608	1.725	-0.221	-0.144	-0.442	-0.219	-0.973	-1.096	0.665	0.766	-0.809	-0.385	1.161	1.125	0.952	1.074	1.112	0.589	-1.271	-1.071	0.695	0.565	0.149	0.051	0.089	0.06	0.384	0.341	-2.444	-1.977	-1.141	-0.918
MASTL	0.523	0.13	-0.524	-0.768	0.572	0.735	-0.742	-1.27	1.441	1.771	-0.635	-0.888	0.829	0.87	-0.764	-1.062	1.525	1.405	-1.2	-1.242	1.591	1.644	0.015	0.141	-0.058	0.345	0.081	-0.19	-0.612	-0.557	-1.422	-1.687
MAT1A	0.677	0.393	0.189	-1.01	0.263	1.623	0.13	0.255	1.534	0.998	-1.01	0.029	-1.01	0.022	-0.106	0.853	-1.01	-1.01	-1.01	-1.01	-1.01	-0.115	-1.01	-1.01	-1.01	-1.01	-1.01	0.022	0.815	1.516	1.793	2.241
MAX	0.524	0.513	-0.733	-1.035	0.482	0.85	-0.553	-0.868	1.11	1.397	-0.441	-0.344	1.209	1.196	-1.084	-1.533	2.367	2.374	-0.441	-0.48	1.04	0.876	-0.56	-0.339	-0.633	-1.027	-0.701	-0.738	-0.592	-0.511	-0.636	-0.691
MCL1	0.644	0.726	-0.964	-0.841	0.192	0.26	-0.861	-0.92	0.965	0.923	-0.568	-0.467	1.148	1.181	-0.179	-0.221	1.712	1.798	-0.658	-0.58	1.44	1.427	0.005	-0.012	0.205	0.097	0.007	0.119	-1.443	-1.067	-2.019	-2.05
MED15	1.153	1.849	-1.02	-0.001	0.277	0.376	-1.119	-1.361	0.295	0.167	-1.097	-2.643	-0.617	0.537	1.043	1.955	1.775	1.01	-1.405	0.185	0.87	0.698	0.116	-0.35	0.042	-0.558	-0.306	-0.584	-0.393	-0.28	-0.683	0.068
METTL21A	-0.662	-0.142	0.551	1.501	-1.861	-0.655	-0.063	-0.466	-1.778	-1.961	0.509	1.057	-0.717	-0.094	0.272	-0.352	-0.869	-0.796	-0.069	0.196	0.427	0.392	1.553	0.971	1.205	1.119	1.612	1.725	-0.59	-0.025	-0.855	-1.137
MFSD12	1.506	1.347	-0.755	-0.649	0.342	0.567	-1.508	-1.164	0.324	0.471	-1.474	-1.127	0.871	0.806	-0.554	-0.667	2.279	2.044	-0.197	-0.109	1.141	1.386	-0.046	-0.013	-0.154	-0.182	-0.251	-0.607	-0.535	-0.63	-1.032	-1.431
MICB	1.509	0.855	-1.405	-1.238	0.826	0.819	0.027	-0.608	0.41	0.951	-0.813	-0.561	1.029	0.423	-0.74	-0.749	2.335	2.013	-0.44	-0.781	0.498	0.937	0.168	-0.65	-1.469	0.414	-1.519	-0.482	0.438	-0.012	-0.966	-1.219
MLKL	1.068	1.118	-0.439	0.144	0.898	0.823	-0.718	-1.473	0.932	0.935	-0.43	-0.36	1.049	0.92	-0.383	-1.473	1.832	1.867	-0.19	0.02	0.962	0.986	-1.144	-1.473	-0.413	-0.277	-1.473	-0.944	0.112	0.074	-1.074	-1.473
MMP13	1.112	-0.964	-0.964	0.265	0.64	-0.964	-0.964	0.409	2.213	2.431	-0.964	-0.964	0.693	1.255	-0.964	-0.964	1.651	0.167	-0.964	-0.964	0.502	0.488	-0.964	-0.087	-0.964	0.23	-0.085	0.358	0.68	-0.964	0.577	-0.964
MOB3C	1.086	0.884	0.437	0.345	0.649	0.483	-0.149	-0.843	1.535	1.451	0.548	0.589	1.064	1.103	-1.266	-0.786	1.327	1.413	-0.18	-0.246	0.618	0.818	-1.239	-1.112	-0.583	-1.566	-1.564	-0.843	-0.514	-0.433	-1.529	-1.499
MOV10	0.998	1.036	-0.443	-0.314	0.738	0.708	-0.709	-0.659	1.488	1.494	0.106	-0.004	1.011	1.039	-1.098	-1.085	1.5	1.565	-0.107	-0.273	0.961	0.976	-0.806	-0.71	-0.301	-0.153	-0.606	-0.472	-0.81	-0.885	-2.112	-2.072
MSL3	0.904	0.543	-0.078	-0.159	-0.02	0.002	-1.152	-1.444	1.083	0.568	-0.411	-0.999	1.05	2.325	-1.364	-1.108	2.08	1.869	0.36	0.174	0.948	0.839	-0.137	-0.703	-0.276	-0.075	-0.126	-0.579	-0.502	-1.046	-1.211	-1.357
MT1H	1.468	2.165	-0.988	-0.988	0.865	1.208	-0.988	-0.988	1.583	0.027	-0.988	-0.988	0.543	-0.035	-0.988	-0.988	1.236	0.528	0.075	0.061	1.412	1.854	0.201	0.188	-0.988	-0.222	-0.988	-0.284	-0.026	-0.988	-0.988	-0.988
MT1X	0.291	0.51	-0.209	-1.521	0.053	0.083	-0.39	-1.635	1.176	1.555	-0.082	0.548	1.425	1.541	-0.934	-1.11	1.033	1.062	-0.411	-1.255	1.503	0.891	0.583	-0.041	0.194	-1.046	0.408	0.2	-0.463	-0.49	-1.141	-2.327
MT2A	1.154	1.146	-0.673	-0.532	0.846	0.886	-0.489	-0.586	1.126	1.156	-0.707	-0.747	1.134	1.163	-1.031	-0.878	1.363	1.377	-0.267	-0.189	1.178	1.211	-0.204	-0.31	-0.227	-0.314	-0.5	-0.562	-0.483	-0.515	-2.473	-2.054
MTMR11	1.249	1.182	-0.146	-0.188	0.225	-0.005	-0.518	-0.52	1.465	1.497	0.544	0.446	1.236	1.314	-0.776	-0.599	0.974	1.302	-0.494	-1.259	1.065	0.976	-0.227	-0.208	-0.365	-0.161	-0.522	-0.801	-1.763	-1.318	-2.142	-1.463
MVP	0.771	0.791	-0.173	-0.203	0.622	0.583	-0.429	-0.439	1.188	1.176	0.211	0.162	0.656	0.725	-1.187	-1.23	1.764	1.769	0.421	0.396	0.724	0.724	-0.568	-0.611	-0.014	-0.01	-0.291	-0.195	-1.165	-1.572	-2.176	-2.42
MX1	1.128	1.136	-0.748	-0.691	0.977	0.981	-0.727	-0.766	1.354	1.354	-0.621	-0.575	1.18	1.176	-1.1	-1.03	1.251	1.257	-0.59	-0.609	1.206	1.208	-1.061	-1.095	-0.26	-0.286	-1.336	-1.307	0.468	0.47	-1.16	-1.187
MX2	1.15	1.139	-1.215	-1.215	1.033	1.015	-0.82	-0.599	1.23	1.229	-1.215	-1.215	1.127	1.138	-1.215	-1.215	1.42	1.425	-0.823	-0.827	1.148	1.159	-0.785	-0.935	-0.583	-0.284	-0.612	-0.694	0.476	0.52	-0.423	-0.534
MYD88	1.205	1.096	-0.436	-0.32	0.942	1.02	-0.348	-0.254	1.093	1.027	-0.389	-0.296	0.41	0.998	-0.581	-0.176	1.746	1.777	-0.136	-0.492	0.742	0.51	-1.033	-0.811	-1.413	-1.426	-1.584	-2.7	0.07	0.106	-0.117	-0.231
MYO9B	0.515	0.641	-0.255	-0.214	-0.305	-0.088	-0.92	-0.936	0.67	0.552	-0.053	-0.028	0.397	0.286	0.658	0.649	1.467	1.437	-0.004	-0.35	1.034	1.065	0.401	0.318	0.561	0.612	0.438	0.319	-2.237	-2.457	-2.01	-2.161
N4BP1	0.828	1.664	-0.835	-1.214	-0.158	0.114	-0.692	-1.064	1.819	1.749	-0.771	-0.668	0.965	0.989	0.721	0.764	1.523	1.774	-0.884	-1.534	0.623	0.529	-1.055	-0.799	-0.536	-1.125	-0.411	-0.783	-0.31	-0.298	-0.869	-0.054
NADK	1.121	0.017	-0.009	-0.204	0.641	0.449	-0.451	-1.219	1.778	1.117	0.01	0.257	0.936	0.922	-0.909	-0.2	1.066	1.309	-1.153	-0.403	0.826	1.01	-0.005	0.043	0.242	0.176	-0.071	0.29	-1.577	-1.559	-1.847	-2.603
NAMPT	1.234	0.503	-0.717	-1.267	0.842	0.085	0.878	0.291	1.311	0.74	-0.644	-1.414	1.277	1.139	-1.148	-1.067	1.774	1.742	-0.441	-0.432	1.106	1.088	-0.611	-0.663	-0.663	-0.672	-0.567	-0.497	0.388	-0.581	-1.193	-1.821
NAPA	0.626	0.768	-0.433	-0.971	0.662	0.91	-0.578	-0.863	2.003	2.079	-1.098	-0.568	0.729	0.689	-1.363	-1.241	1.21	1.09	-0.192	-0.352	0.984	1.004	-0.882	-0.757	-0.858	-0.703	-1.096	-1.172	0.834	1.119	-1.047	-0.536
NBN	0.777	0.669	-0.532	-0.64	0.566	0.708	-0.352	-0.378	1.645	1.509	0.028	-0.129	1.024	0.909	-1.203	-1.36	1.65	1.622	-0.368	-0.361	1.27	1.3	-0.559	-0.465	-0.651	-0.46	-0.426	-0.276	-0.842	-0.904	-1.797	-1.974
NCOA3	1.308	1.195	-0.681	-1.062	-0.202	0.411	-1.351	-1.067	0.403	0.821	-0.847	-0.726	0.959	1.008	-0.368	-0.1	2.149	2.587	0.115	-0.478	0.781	0.569	0.31	0.35	-1.375	-1.107	0.188	0.18	-0.872	-0.811	-1.062	-1.225
NCOA7	0.745	0.623	0.021	-0.348	1.234	1.27	0.604	0.387	1.841	1.875	-0.333	-0.406	0.521	0.171	0.046	0.395	1.37	1.508	0.035	0.282	-0.473	-0.528	-1.777	-1.83	-1.444	-1.415	-1.325	-1.241	-0.298	-0.812	-0.22	-0.48
NDUFA9	0.69	1.55	-1.056	0.404	0.547	1.228	0.082	0.193	1.366	1.915	-1.24	0.352	0.006	-0.399	-1.399	-0.91	1.104	0.942	-0.245	-0.575	-0.061	0.16	-1.683	-1.307	-1.202	-1.296	-1.167	-1.061	0.593	1.412	0.158	0.898
NEK8	1.488	1.139	-0.225	-0.212	0.647	0.014	-0.613	-0.728	0.898	2.057	-0.293	0.689	0.299	0.974	-0.611	-1.902	0.048	0.444	0.095	-0.947	1.222	1.667	0.122	-0.915	-0.161	0.067	0.257	-0.225	-1.188	-1.537	-2.507	-0.065
NLRC5	1.067	1.061	-1.149	-1.109	0.86	0.801	-0.649	-0.817	1.343	1.35	-0.386	-0.702	1.274	1.212	-1.043	-1.107	1.186	1.212	-0.978	-1.121	1.313	1.328	-0.737	-0.996	-0.35	-0.441	-0.782	-0.795	0.7	0.664	-1.086	-1.122
NMI	1.121	1.112	-0.396	-0.296	0.878	0.895	-0.5	-0.564	1.316	1.337	-0.129	-0.042	1.151	1.171	-0.881	-0.825	1.407	1.381	-0.072	-0.055	0.782	0.824	-1.035	-1.235	-0.582	-0.65	-0.761	-1.053	0.05	-0.081	-1.924	-2.343
NOD1	0.767	0.704	-0.816	-0.542	0.176	0.095	-0.499	-0.761	1.794	1.612	0.605	0.363	1.127	1.271	-0.703	-1.252	1.279	1.346	-1.067	-0.466	1.188	1.121	-0.208	-0.306	-0.02	-0.212	0.144	-0.528	-1.616	-1.467	-1.891	-1.239
NOD2	1.184	1.188	-0.602	-1.308	0.593	0.606	-1.308	-0.361	1.431	1.427	0.28	0.055	1.403	1.152	-0.299	-0.304	1.212	0.813	-1.308	-1.308	1.167	1.441	-0.697	-0.703	-1.308	-0.341	-1.308	-0.946	0.057	-1.308	-0.857	0.256
NT5C3A	0.783	-0.017	-1.353	-1.699	0.441	0.184	-0.403	-0.768	1.528	1.255	-1.106	-1.62	1.47	1.229	-0.365	-0.756	1.703	1.571	-0.648	-0.976	1.397	1.415	-0.324	-0.312	0.143	0.046	-0.011	-0.247	-0.124	-0.395	-0.622	-1.42
NUB1	1.058	1.038	-0.408	-0.633	0.599	0.599	-1.328	-0.988	1.388	1.43	-0.355	-0.64	1.19	1.305	-1.24	-1.165	2.022	1.889	-0.598	-0.52	1.065	1.087	-0.764	-0.76	-0.654	-0.543	-0.66	-0.702	-0.687	-0.621	-0.662	-0.742
NUDCD1	0.631	0.489	-1.016	-1.322	0.302	0.463	-0.866	-0.872	1.441	1.161	-0.821	-0.851	1.339	1.371	-1.002	-1.264	1.428	1.572	-0.253	-0.139	1.725	1.763	-0.643	-0.383	-0.014	0.039	-0.626	-0.349	-0.137	-0.461	-1.445	-1.262
NUP160	0.674	0.33	-1.05	-1.489	-0.196	-0.561	-0.865	-1.813	1.206	0.791	-0.566	-0.947	0.43	0.976	0.971	1.123	0.709	0.687	-1.608	-1.661	1.425	1.662	0.445	0.485	0.629	0.569	0.557	0.864	-0.576	-1.007	-1.01	-1.184
OAS1	1.076	1.086	-0.646	-0.611	0.993	1.002	-0.784	-0.655	1.333	1.346	-0.516	-0.399	1.183	1.188	-0.985	-0.904	1.242	1.249	-0.549	-0.555	1.182	1.164	-1.599	-1.416	-0.249	-0.241	-1.139	-0.891	0.377	0.384	-1.069	-1.599
OAS2	1.105	1.084	-0.922	-0.917	1.057	1.079	-0.633	-0.971	1.296	1.297	-0.857	-1.054	1.095	1.122	-1.435	-1.231	1.371	1.368	-0.291	-0.408	1.175	1.172	-0.793	-0.984	-0.282	-0.354	-1.138	-1.435	0.418	0.351	-0.572	-0.714
OAS3	1.04	1.016	-0.998	-1.003	1.131	1.171	-0.417	-0.548	1.446	1.458	-0.292	-0.33	1.118	1.121	-1.141	-0.91	1.287	1.304	-0.543	-0.636	1.132	1.123	-0.855	-0.924	-0.284	-0.542	-1.3	-1.307	0.114	0.206	-0.986	-1.651
OASL	1.248	1.253	-0.717	-0.548	0.956	0.888	-1.059	-1.059	1.224	1.214	-0.751	-0.82	1.203	1.219	-0.731	-1.059	1.471	1.451	-1.059	-0.654	1.267	1.287	-1.059	-1.059	-0.586	-0.591	-1.059	-1.059	0.292	0.245	-0.71	-0.641
OGFR	0.695	0.76	-0.879	-0.847	0.584	0.613	-0.929	-0.925	1.507	1.564	-0.791	-0.643	1.009	1.072	-1.719	-1.612	1.225	1.173	-0.412	-0.439	1.547	1.594	-1.08	-0.988	-0.019	0.051	-0.9	-0.93	0.6	0.49	-0.758	-0.612
OPTN	0.949	0.882	-0.497	-0.379	0.781	0.751	-0.045	-0.171	1.136	1.166	-0.453	-0.256	1.002	0.875	-0.758	-0.799	2.207	2.223	-0.049	-0.37	0.403	0.53	-1.321	-1.309	-1.589	-1.417	-1.364	-1.424	0.191	0.052	-0.305	-0.645
OR52K1	1.066	1.727	-0.775	-0.775	1.515	1.902	-0.775	-0.775	1.316	0.305	-0.775	-0.775	1.592	-0.775	-0.775	0.086	1.594	0.251	-0.775	-0.775	0.629	1.943	-0.775	-0.775	-0.775	0.041	-0.012	-0.775	-0.775	-0.775	-0.775	-0.775
OR52K2	1.5	2.374	-0.693	-0.693	0.737	-0.693	-0.693	-0.693	1.639	0.846	-0.693	-0.693	1.469	-0.693	-0.693	-0.693	1.471	1.16	-0.693	-0.693	1.642	1.201	-0.693	-0.693	-0.693	0.521	-0.693	-0.693	-0.693	-0.693	-0.693	-0.693
OSMR	1.241	1.185	-0.249	-0.23	0.666	0.672	0.083	0.451	1.015	1.217	0.569	0.474	1.128	1.211	0.263	0.308	0.93	0.985	-0.465	-0.522	0.158	0.194	-0.758	-0.641	-0.304	-0.14	-0.458	-0.567	-1.866	-2.342	-2.229	-1.979
OTUD4	1.103	0.725	-0.482	-1.451	0.218	-0.306	-0.819	-1.026	2.092	2.007	0.318	0.054	0.945	0.858	0.845	0.716	1.503	1.485	-1.195	-1.362	0.458	0.734	-1.126	-0.835	-0.946	-0.819	-0.673	-0.639	-0.793	-0.948	-0.131	-0.511
P2RX7	0.94	1.044	-0.037	-0.321	0.354	0.165	-1.068	-1.485	-0.059	0.013	-0.633	-0.618	0.019	-0.199	-0.981	-0.943	2.223	2.262	0.923	0.903	1.442	1.485	0.643	0.528	-1.3	-1.46	-1.011	-0.914	-0.169	-0.126	-0.823	-0.798
PAPD7	1.767	1.793	-0.618	-0.523	0.527	0.298	-0.958	-0.434	0.406	0.219	-1.085	-0.996	0.904	1.212	0.663	1.59	1.371	1.571	-1.335	-1.329	0.965	0.895	-0.986	-1.186	-1.056	-0.108	-1.05	-0.568	-0.73	-0.841	-0.073	-0.304
PARD3	0.503	0.414	-0.818	-0.863	-0.324	-0.258	-1.005	-1.139	1.321	1.064	0.046	-0.159	0.949	0.988	-0.933	-0.957	0.684	0.599	-0.651	-0.536	1.336	1.344	0.692	0.653	1.042	0.943	0.801	0.974	-1.32	-1.749	-1.618	-2.023
PARP10	0.991	0.951	-0.507	-0.557	0.877	0.891	-0.775	-0.989	1.733	1.695	-0.336	-0.583	1.161	1.179	-0.726	-0.759	1.455	1.459	-0.36	-0.229	1.104	1.05	-1.375	-1.05	-0.499	-0.38	-0.857	-0.968	-0.45	-0.292	-1.606	-1.248
PARP12	1.123	1.134	-0.517	-0.512	0.889	0.86	-0.673	-0.725	1.433	1.417	-0.297	-0.315	1.152	1.124	-0.746	-0.832	1.319	1.324	-0.473	-0.355	1.223	1.223	-0.867	-0.888	-0.273	-0.238	-1.16	-1.071	-0.252	-0.247	-2.063	-1.717
PARP14	1.177	1.18	-0.49	-0.49	0.889	0.895	-0.611	-0.672	1.334	1.335	-0.332	-0.318	1.171	1.169	-0.719	-0.711	1.279	1.29	-0.427	-0.476	1.099	1.099	-0.868	-0.869	-0.259	-0.256	-0.788	-0.737	-0.269	-0.213	-2.227	-2.188
PARP4	0.668	0.606	-0.832	-0.809	0.385	0.343	-0.521	-0.81	1.472	1.414	0.717	0.704	0.932	0.939	-0.634	-0.564	1.412	1.41	-0.553	-0.527	0.467	0.504	-0.446	-0.457	0.507	0.528	0.301	0.383	-1.65	-1.417	-2.083	-2.39
PARP8	1.448	0.817	-1.555	-1.506	1.042	1.057	0.979	0.093	0.969	0.47	-1.12	-1.589	0.088	1.399	-0.782	-0.758	1.345	1.023	0.25	-0.464	1.297	1.556	0.225	-0.107	-1.139	-1.257	-0.127	-0.557	-0.41	-1.178	-0.542	-0.968
PARP9	1.018	1.022	-0.479	-0.536	0.88	0.927	-0.482	-0.477	1.384	1.407	-0.181	-0.257	1.097	1.087	-0.738	-0.861	1.28	1.245	-0.606	-0.481	1.046	1.041	-0.943	-0.921	0.083	0.08	-0.73	-0.843	-0.263	-0.212	-2.126	-2.46
PATL1	1.534	1.492	-0.905	-0.92	0.935	0.59	-1.044	-0.937	1.273	1.229	-0.532	-0.803	1.492	1.142	1.04	0.89	1.221	1.012	-1.057	-1.534	0.505	0.801	-1.081	-0.579	-0.328	-0.731	-0.691	-0.594	-0.425	-0.974	-1.198	-0.823
PCGF5	1.093	1.029	-1.077	-1.175	0.517	0.351	-0.003	-0.003	1.402	1.468	-0.736	-0.873	1.242	1.175	-0.924	-0.833	1.704	1.792	-0.723	-0.734	1.121	1.082	-0.606	-0.758	-0.193	-0.035	-0.172	-0.268	-0.983	-0.879	-1.487	-1.512
PDZD2	1.784	1.714	-0.207	-0.086	0.809	0.763	-0.186	-0.35	0.617	0.559	-0.878	-1.228	0.56	0.435	0.087	0.255	1.158	1.012	-0.449	-0.309	-0.278	-0.271	-1.574	-1.711	-1.363	-1.547	-1.643	-1.377	0.708	0.536	1.223	1.241
PGPEP1	-0.731	-0.574	0.628	0.856	-1.08	-1.08	-0.196	-0.104	-0.219	-0.219	0.54	1.186	-0.344	-0.148	0.718	0.898	-0.549	-0.396	0.022	0.498	0.457	-0.079	0.329	0.705	1.497	1.558	1.489	1.579	-2.184	-1.855	-1.339	-1.86
PHACTR4	0.77	0.933	-0.668	-0.881	-0.024	0.045	-1.197	-1.231	0.806	0.667	-1.467	-1.614	1.263	1.029	1.451	1.425	0.987	0.91	-1.195	-0.977	1.485	1.57	-0.085	-0.31	0.109	0.016	0.073	0.082	-1.41	-1.465	-0.535	-0.564
PHF11	1.174	0.975	-0.348	-0.557	0.942	0.85	-0.17	-0.234	1.278	1.354	-0.107	0.048	1.035	1.035	-0.612	-0.549	1.648	1.671	-0.241	0.057	0.725	0.807	-1.158	-1.345	-0.981	-1.339	-1.415	-1.315	-0.046	-0.078	-1.415	-1.689
PI4K2B	0.684	0.624	-0.611	-0.734	0.559	0.376	-0.729	-0.66	1.516	1.553	-0.293	-0.207	1.463	1.41	-1.714	-0.966	1.93	2.033	-0.395	-0.412	0.958	0.854	-0.882	-0.688	-0.36	-0.685	-0.986	-0.788	-0.328	-0.298	-1.231	-0.993
PIK3AP1	1.111	0.942	-0.721	-0.642	0.808	0.721	-0.043	-0.159	1.143	0.996	-0.103	-0.137	1.414	1.563	-0.868	-0.579	1.259	1.176	-0.424	-0.558	1.144	1.168	-0.989	-1.91	-1.019	-1.293	-1.263	-2.145	0.059	0.011	-0.345	-0.319
PIK3CA	1.167	1.66	-0.923	-1.01	1.065	0.775	-0.008	0.45	1.421	1.259	-0.582	-0.415	0.424	0.562	0.908	1.559	0.989	0.719	-0.776	-1.493	-0.216	0.475	-1.005	-0.755	-1.864	-1.925	-1.076	-1.213	-0.287	-0.181	-0.028	0.323
PLA2G4A	0.174	0.103	-1.062	-1.309	1.217	1.263	0.151	0.261	1.728	1.603	0.06	-0.345	0.749	0.656	-1.216	-1.953	1.668	1.791	0.431	0.216	0.44	0.277	-0.204	-0.013	-0.725	-0.155	-0.359	-0.474	-1.715	-0.864	-1.205	-1.188
PLAGL1	1.203	1.247	-0.1	-0.384	0.582	0.709	-0.329	-0.85	1.488	1.51	0.723	0.717	0.4	0.643	0.515	0.384	-0.341	-0.105	-1.081	-1.139	0.589	0.638	0.1	0.468	0.025	0.247	0.195	0.054	-2.49	-2.251	-1.813	-1.555
PLEKHA4	1.005	0.919	-0.003	-0.126	0.604	0.58	-0.81	-0.829	1.403	1.401	0.192	0.111	1.103	1.135	-1.081	-0.938	1.207	1.246	-0.289	-0.288	1.129	1.083	-0.401	-0.31	-0.228	-0.192	-0.421	-0.465	-0.94	-1.127	-2.582	-2.09
PLSCR1	1.196	1.123	-0.477	-0.63	0.917	0.906	-0.79	-0.823	1.463	1.431	-0.223	-0.199	1.28	1.274	-0.834	-0.984	1.273	1.254	-0.637	-0.67	1.061	1.065	-1.038	-1.06	-0.572	-0.596	-0.928	-1.051	0.237	0.265	-1.698	-1.533
PLSCR2	1.715	-0.206	-1.085	-0.2	-1.085	0.395	-1.085	-0.073	1.874	1.022	0.237	-1.085	1.54	1.71	-1.085	0.002	0.514	0.176	-1.085	-1.085	1.184	0.894	-1.085	-1.085	-1.085	-0.448	-0.489	-0.499	1.405	0.793	0.392	-1.085
PML	1.23	1.261	-1.137	-0.947	0.724	0.833	-1.044	-1.098	1.24	1.353	-0.915	-0.806	1.178	1.233	-0.454	-0.308	1.446	1.48	-0.551	-0.587	1.292	1.377	-1.313	-1.254	-0.27	-0.347	-0.724	-0.697	-0.135	-0.009	-0.946	-1.105
PNPT1	0.992	0.92	-1.033	-1.198	0.68	0.533	-0.879	-1.084	1.549	1.458	-0.755	-0.928	1.311	1.237	-1.01	-1.001	1.174	1.169	-0.826	-0.809	1.693	1.665	-0.56	-0.511	-0.577	-0.521	-0.442	-0.495	0.204	0.2	-1.054	-1.1
PPM1K	0.715	0.79	-0.279	-0.267	0.771	0.614	-0.007	0.036	1.469	1.488	-1.319	-1.291	1.16	1.098	-1.024	-0.945	0.779	0.773	-0.343	-0.675	0.902	0.878	-1.242	-1.49	-1.523	-1.403	-1.301	-1.423	0.761	0.763	0.782	0.75
PPP2R2A	1.329	0.799	-0.584	-0.716	-0.864	-0.801	-1.556	-1.65	0.269	0.314	-1.193	-0.958	0.627	0.711	0.322	0.32	2.155	2.243	-0.059	-0.36	1.569	1.743	-0.673	-0.62	-0.983	-0.71	-0.42	-0.806	0.155	0.322	-0.062	0.135
PRKD2	1.209	1.01	-0.527	-1.176	0.558	0.182	-1.328	-2.236	1.463	1.374	-0.078	-0.72	1.341	1.295	-0.178	-0.368	1.109	1.326	-0.493	-0.876	1.3	1.263	-0.288	-0.501	0.216	0.01	-0.199	-0.346	-1.032	-1.129	-1.023	-1.159
PSMA3	0.637	0.499	-0.624	-0.898	0.329	-0.064	-0.722	-1.125	1.758	1.427	-0.04	-0.477	1.195	1.223	-0.961	-1.009	1.495	1.407	-0.65	-0.516	1.233	1.505	-0.91	-0.794	0.479	0.429	-0.143	-0.096	-0.255	-0.656	-1.532	-2.144
PSMA4	0.688	0.536	-0.484	-0.622	0.174	-0.038	-1.06	-1.35	1.084	1.001	-0.366	-0.54	1.069	0.967	-1.428	-1.426	2.048	2.139	-0.582	-0.571	1.295	1.003	-0.279	-0.465	0.552	0.59	0.172	0.055	-0.402	-0.47	-1.627	-1.663
PSMA5	0.418	-0.233	-0.536	-0.935	0.453	0.042	-0.827	-0.662	1.785	1.328	-0.011	-0.251	0.613	0.558	-2.237	-2.177	1.984	1.791	-0.171	-0.357	1.12	1.062	0.058	0.143	0.038	0.161	0.237	0.354	-0.533	-0.717	-1.246	-1.253
PSMB10	0.879	1.05	-0.601	-0.891	0.741	0.88	-0.543	-0.269	1.386	1.578	-0.387	-0.646	1.049	0.976	-1.288	-1.122	1.799	1.832	0.123	-0.09	1.174	0.893	-0.714	-0.756	-0.636	-0.586	-1.418	-0.802	-0.749	-0.242	-1.283	-1.338
PSMB2	0.95	0.892	-0.936	-1.056	-0.207	-0.084	-1.129	-0.852	1.336	1.074	-0.524	-0.5	0.229	0.518	0.36	0.684	1.537	1.205	-0.963	-0.635	1.077	0.696	0.503	0.171	0.561	0.213	0.73	0.58	-0.632	-0.782	-2.491	-2.522
